社員番号,氏名,所属部門,勤務表提出ステータス,日付,休日区分,勤務状況,始業時刻,終業時刻,備考,承認,控除合計,深夜合計,実働,休憩
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/17,法休,休日,,,,,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/18,祝日,休日,,,,,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/19,平日,出勤,7:15,18:00,,1,,,585,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/20,平日,出勤,7:15,18:30,,1,,,615,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/21,平日,出勤,7:30,18:30,,1,,,600,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/22,平日,出勤,9:00,17:45,横浜市保健所直行,1,,,465,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/23,祝日,休日,,,,,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/24,法休,休日,,,,,,,,
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/25,平日,出勤,7:20,18:30,,1,,,610,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/26,平日,出勤,7:00,18:45,,1,,,645,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/27,平日,出勤,7:30,18:00,,1,,,570,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/28,平日,出勤,7:20,19:00,,1,,,640,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/29,平日,出勤,7:20,19:00,,1,,,640,60
3181,永瀬　理絵,給与・厚生課,登録中,2017/9/30,休日,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/1,平日,出勤,8:00,20:00,,1,,,660,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/2,休日,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/3,法休,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/4,平日,出勤,8:00,20:00,,1,,,660,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/5,平日,出勤,8:00,18:25,,1,,,565,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/6,平日,出勤,8:00,20:00,,1,,,660,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/7,平日,出勤,8:00,18:30,,1,,,570,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/8,平日,出勤,8:00,19:30,,1,,,630,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/9,休日,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/10,法休,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/11,平日,出勤,8:00,20:00,,1,,,660,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/12,平日,出勤,8:00,19:20,,1,,,620,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/13,平日,出勤,8:00,21:00,,1,,,720,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/14,平日,出勤,7:30,20:20,,1,,,710,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/15,平日,出勤,7:20,18:00,18：00～19:30　伊藤忠社内セミナー,1,,,580,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/16,休日,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/17,法休,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/18,祝日,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/19,平日,出勤,8:00,18:00,,1,,,540,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/20,平日,出勤,8:00,20:00,,1,,,660,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/21,平日,出勤,8:00,19:20,,1,,,620,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/22,平日,出勤,8:00,19:15,,1,,,615,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/23,祝日,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/24,法休,休日,,,,,,,,
4100,鈴木　洋,財経審査課,承認完了,2017/9/25,平日,出勤,8:00,19:30,,1,,,630,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/26,平日,出勤,8:00,19:50,,1,,,650,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/27,平日,出勤,8:00,19:50,人総グループHappy Hour参加,1,30,,620,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/28,平日,出勤,7:30,17:50,,1,,,560,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/29,平日,出勤,7:30,20:00,,1,,,690,60
4100,鈴木　洋,財経審査課,承認完了,2017/9/30,休日,休日,,,,,,,,
5021,村上　清華,海外課,登録中,2017/9/1,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/2,休日,休日,,,,,,,,
5021,村上　清華,海外課,登録中,2017/9/3,法休,休日,,,,,,,,
5021,村上　清華,海外課,登録中,2017/9/4,平日,休日,,,米国が祝日のため休み,1,,,,
5021,村上　清華,海外課,登録中,2017/9/5,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/6,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/7,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/8,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/9,休日,休日,,,,,,,,
5021,村上　清華,海外課,登録中,2017/9/10,法休,休日,,,,,,,,
5021,村上　清華,海外課,登録中,2017/9/11,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/12,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/13,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/14,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/15,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/16,休日,休日,,,,,,,,
5021,村上　清華,海外課,登録中,2017/9/17,法休,休日,,,,,,,,
5021,村上　清華,海外課,登録中,2017/9/18,祝日,出勤,9:00,17:15,米国が祝日でないため出勤,1,,,,
5021,村上　清華,海外課,登録中,2017/9/19,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/20,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/21,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/22,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/23,祝日,休日,,,,,,,,
5021,村上　清華,海外課,登録中,2017/9/24,法休,休日,,,,,,,,
5021,村上　清華,海外課,登録中,2017/9/25,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/26,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/27,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/28,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/29,平日,出勤,9:00,17:15,,1,,,435,60
5021,村上　清華,海外課,登録中,2017/9/30,休日,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/1,平日,出勤,9:30,17:00,,1,,,390,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/2,休日,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/3,法休,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/4,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/5,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/6,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/7,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/8,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/9,休日,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/10,法休,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/11,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/12,平日,出勤,9:30,15:30,,1,,,300,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/13,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/14,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/15,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/16,休日,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/17,法休,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/18,祝日,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/19,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/20,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/21,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/22,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/23,祝日,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/24,法休,休日,,,,,,,,
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/25,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/26,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/27,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/28,平日,出勤,9:30,16:30,,1,,,360,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/29,平日,出勤,9:30,17:15,,1,,,405,60
5504,千代丸　佳奈,オフィスサプライ課,承認完了,2017/9/30,休日,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/1,平日,午後半休,8:20,13:15,,1,,,235,60
6110,福田　祐也,システム課,承認完了,2017/9/2,休日,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/3,法休,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/4,平日,出勤,8:15,17:15,SONY交流会（同夢に移動）,1,,,480,60
6110,福田　祐也,システム課,承認完了,2017/9/5,平日,出勤,8:20,19:00,,1,,,580,60
6110,福田　祐也,システム課,承認完了,2017/9/6,平日,出勤,8:40,19:00,,1,,,560,60
6110,福田　祐也,システム課,承認完了,2017/9/7,平日,出勤,8:40,19:00,BNCセミナー,1,,,560,60
6110,福田　祐也,システム課,承認完了,2017/9/8,平日,出勤,8:40,19:30,,1,,,590,60
6110,福田　祐也,システム課,承認完了,2017/9/9,休日,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/10,法休,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/11,平日,精勤休暇,,,子供発熱,1,,,,
6110,福田　祐也,システム課,承認完了,2017/9/12,平日,出勤,8:40,19:10,,1,,,570,60
6110,福田　祐也,システム課,承認完了,2017/9/13,平日,出勤,8:40,17:45,,1,,,485,60
6110,福田　祐也,システム課,承認完了,2017/9/14,平日,出勤,8:40,20:00,,1,,,620,60
6110,福田　祐也,システム課,承認完了,2017/9/15,平日,精勤休暇,,,夏季休暇,1,,,,
6110,福田　祐也,システム課,承認完了,2017/9/16,休日,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/17,法休,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/18,祝日,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/19,平日,出勤,8:40,19:00,,1,,,560,60
6110,福田　祐也,システム課,承認完了,2017/9/20,平日,出勤,8:30,18:40,,1,,,550,60
6110,福田　祐也,システム課,承認完了,2017/9/21,平日,出勤,8:40,18:40,,1,,,540,60
6110,福田　祐也,システム課,承認完了,2017/9/22,平日,出勤,8:40,19:00,,1,,,560,60
6110,福田　祐也,システム課,承認完了,2017/9/23,祝日,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/24,法休,休日,,,,,,,,
6110,福田　祐也,システム課,承認完了,2017/9/25,平日,出勤,8:40,18:40,,1,,,540,60
6110,福田　祐也,システム課,承認完了,2017/9/26,平日,出勤,8:40,17:40,,1,,,480,60
6110,福田　祐也,システム課,承認完了,2017/9/27,平日,出勤,8:40,18:30,,1,,,530,60
6110,福田　祐也,システム課,承認完了,2017/9/28,平日,出勤,8:40,18:00,,1,,,500,60
6110,福田　祐也,システム課,承認完了,2017/9/29,平日,出勤,8:40,18:40,,1,,,540,60
6110,福田　祐也,システム課,承認完了,2017/9/30,休日,休日,,,,,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/1,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/2,休日,休日,,,,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/3,法休,休日,,,,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/4,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/5,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/6,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/7,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/8,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/9,休日,休日,,,,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/10,法休,休日,,,,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/11,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/12,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/13,平日,午後半休,9:00,12:00,夏季休暇,1,,,180,0
6503,石川　恵美子,施設運営課,承認完了,2017/9/14,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/15,平日,出勤,9:00,17:15,,1,,,435,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/16,休日,休日,,,,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/17,法休,休日,,,,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/18,祝日,休日,,,,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/19,平日,出勤,9:00,17:45,,1,,,465,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/20,平日,精勤休暇,,,夏季休暇,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/21,平日,出勤,8:00,17:45,,1,,,525,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/22,平日,出勤,8:00,17:15,,1,,,495,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/23,祝日,休日,,,,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/24,法休,休日,,,,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/25,平日,午後半休,8:00,12:00,夏季休暇,1,,,240,0
6503,石川　恵美子,施設運営課,承認完了,2017/9/26,平日,午後半休,8:00,12:00,夏季休暇,1,,,240,0
6503,石川　恵美子,施設運営課,承認完了,2017/9/27,平日,出勤,8:30,16:30,FLEX　私用,1,,,420,60
6503,石川　恵美子,施設運営課,承認完了,2017/9/28,平日,午後半休,8:00,12:00,夏季休暇,1,,,240,0
6503,石川　恵美子,施設運営課,承認完了,2017/9/29,平日,精勤休暇,,,夏季休暇,1,,,,
6503,石川　恵美子,施設運営課,承認完了,2017/9/30,休日,休日,,,,1,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/1,平日,出勤,8:00,19:30,,1,,,630,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/2,休日,休日,,,,,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/3,法休,休日,,,,,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/4,平日,出勤,7:30,18:30,終業後、同夢利用,1,,,600,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/5,平日,出勤,8:00,19:10,,1,,,610,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/6,平日,出勤,8:00,19:30,,1,,,630,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/7,平日,出勤,8:00,19:30,,1,,,630,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/8,平日,出勤,8:00,19:20,,1,,,620,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/9,休日,休日,,,,,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/10,法休,休日,,,,,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/11,平日,出勤,9:00,18:20,,1,,,500,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/12,平日,出勤,8:00,18:30,,1,,,570,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/13,平日,午前半休,13:00,18:15,,1,,,315,0
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/14,平日,出勤,8:00,18:30,,1,,,570,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/15,平日,出勤,9:00,19:30,任意研修（スニーカーセミナー参加）,1,60,,510,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/16,休日,休日,,,,,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/17,法休,休日,,,,,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/18,祝日,休日,,,,,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/19,平日,精勤休暇,,,,1,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/20,平日,出勤,8:00,19:20,,1,,,620,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/21,平日,出勤,8:00,19:30,,1,,,630,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/22,平日,出勤,9:00,18:50,,1,,,530,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/23,祝日,休日,,,,,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/24,法休,休日,,,,,,,,
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/25,平日,出勤,8:00,18:15,,1,,,555,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/26,平日,出勤,9:00,18:30,,1,,,510,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/27,平日,午前半休,13:00,18:50,,1,,,350,0
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/28,平日,出勤,8:00,18:30,,1,,,570,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/29,平日,出勤,8:00,19:00,,1,,,600,60
9525,関野　亜佑美,給与・厚生課,承認待ち ,2017/9/30,休日,休日,,,,,,,,
10085,藤代　尚彦,海外課,承認完了,2017/9/1,平日,出勤,7:30,19:25,,1,,,655,60
10085,藤代　尚彦,海外課,承認完了,2017/9/2,休日,休日,,,,,,,,
10085,藤代　尚彦,海外課,承認完了,2017/9/3,法休,休日,,,,,,,,
10085,藤代　尚彦,海外課,承認完了,2017/9/4,平日,出勤,7:30,19:30,,1,,,660,60
10085,藤代　尚彦,海外課,承認完了,2017/9/5,平日,出勤,7:30,19:45,,1,,,675,60
10085,藤代　尚彦,海外課,承認完了,2017/9/6,平日,出勤,7:30,19:40,,1,,,670,60
10085,藤代　尚彦,海外課,承認完了,2017/9/7,平日,出勤,7:30,19:40,,1,,,670,60
10085,藤代　尚彦,海外課,承認完了,2017/9/8,平日,出勤,7:30,18:30,,1,,,600,60
10085,藤代　尚彦,海外課,承認完了,2017/9/9,休日,休日出勤,9:00,17:15,出張,1,,,495,0
10085,藤代　尚彦,海外課,承認完了,2017/9/10,法休,休日出勤,9:00,17:15,出張,1,,,495,0
10085,藤代　尚彦,海外課,承認完了,2017/9/11,平日,出勤,9:00,17:15,,1,,,435,60
10085,藤代　尚彦,海外課,承認完了,2017/9/12,平日,出勤,9:00,17:15,,1,,,435,60
10085,藤代　尚彦,海外課,承認完了,2017/9/13,平日,出勤,9:00,17:15,,1,,,435,60
10085,藤代　尚彦,海外課,承認完了,2017/9/14,平日,出勤,9:00,17:15,,1,,,435,60
10085,藤代　尚彦,海外課,承認完了,2017/9/15,平日,出勤,9:00,17:15,,1,,,435,60
10085,藤代　尚彦,海外課,承認完了,2017/9/16,休日,休日出勤,9:00,17:15,出張,1,,,495,0
10085,藤代　尚彦,海外課,承認完了,2017/9/17,法休,休日出勤,9:00,17:15,出張,1,,,495,0
10085,藤代　尚彦,海外課,承認完了,2017/9/18,祝日,休日出勤,9:00,17:15,出張,1,,,495,0
10085,藤代　尚彦,海外課,承認完了,2017/9/19,平日,出勤,9:00,17:15,,1,,,435,60
10085,藤代　尚彦,海外課,承認完了,2017/9/20,平日,出勤,9:00,17:15,出張,1,,,435,60
10085,藤代　尚彦,海外課,承認完了,2017/9/21,平日,出勤,8:00,19:45,,1,,,645,60
10085,藤代　尚彦,海外課,承認完了,2017/9/22,平日,出勤,7:30,18:45,,1,,,615,60
10085,藤代　尚彦,海外課,承認完了,2017/9/23,祝日,休日,,,,,,,,
10085,藤代　尚彦,海外課,承認完了,2017/9/24,法休,休日,,,,,,,,
10085,藤代　尚彦,海外課,承認完了,2017/9/25,平日,出勤,8:00,18:45,,1,,,585,60
10085,藤代　尚彦,海外課,承認完了,2017/9/26,平日,出勤,8:00,19:30,,1,,,630,60
10085,藤代　尚彦,海外課,承認完了,2017/9/27,平日,出勤,8:00,19:00,,1,,,600,60
10085,藤代　尚彦,海外課,承認完了,2017/9/28,平日,出勤,8:00,19:45,,1,,,645,60
10085,藤代　尚彦,海外課,承認完了,2017/9/29,平日,出勤,8:00,19:45,,1,,,645,60
